                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8268,                 4.1598,                 4.2032,                 0.0016,                0.08185,                0.00121,                0.00044,                 4.1352,                 4.2315,                 4.1816,              0.0032828,              0.0032828,              0.0032828
                      2,                 3.2398,                 3.1751,                 3.3638,                 0.0368,                0.13452,                0.01752,                0.00459,                 3.3514,                 37.639,                 3.8596,              0.0066096,              0.0066096,              0.0066096
                      3,                 2.7136,                 2.5012,                  2.601,                0.06592,                0.30713,                0.03574,                0.01043,                 2.7116,                    inf,                 3.4518,              0.0099298,              0.0099298,              0.0099298
                      4,                 2.4282,                 2.2359,                 2.2659,                0.01015,                0.18314,                0.00574,                0.00193,                 3.0467,                    inf,                 4.0886,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.2742,                 2.1062,                 2.0782,                 0.0758,                0.38655,                0.06756,                 0.0248,                 2.3866,                 25.465,                 2.6787,              0.0099703,              0.0099703,              0.0099703
                      6,                 2.1724,                  2.026,                 1.9721,                0.19821,                0.25482,                0.14776,                0.05458,                 2.2418,                   8.42,                 2.1811,              0.0099604,              0.0099604,              0.0099604
                      7,                 2.1113,                 1.9495,                 1.8973,                0.22171,                0.27229,                0.18553,                0.06858,                  2.272,                 2.3606,                 2.0387,              0.0099505,              0.0099505,              0.0099505
                      8,                 2.0593,                  1.895,                  1.842,                0.34699,                0.38331,                0.30353,                0.12276,                 2.0829,                 1.9487,                 1.9394,              0.0099406,              0.0099406,              0.0099406
                      9,                 2.0224,                  1.861,                 1.8139,                0.34405,                0.35008,                0.26894,                0.10806,                 2.1229,                 2.0195,                 1.8674,              0.0099307,              0.0099307,              0.0099307
                     10,                  1.998,                  1.822,                 1.7758,                0.46267,                 0.4141,                0.38118,                0.14983,                 2.0531,                 1.8945,                 1.8258,              0.0099208,              0.0099208,              0.0099208
                     11,                  1.969,                 1.7815,                 1.7481,                0.41148,                0.36224,                0.33539,                0.13471,                 2.0547,                 1.9596,                 1.8484,              0.0099109,              0.0099109,              0.0099109
                     12,                 1.9524,                 1.7568,                 1.7257,                0.43942,                0.39546,                0.36493,                0.15085,                 2.0567,                 1.8443,                 1.8198,               0.009901,               0.009901,               0.009901
                     13,                 1.9323,                 1.7333,                 1.7087,                0.42804,                0.38493,                0.39306,                0.16029,                 2.0244,                  1.843,                 1.7851,              0.0098911,              0.0098911,              0.0098911
                     14,                 1.9007,                 1.7025,                 1.6804,                0.45455,                0.38412,                0.35459,                  0.147,                 2.0164,                 1.8861,                 1.8066,              0.0098812,              0.0098812,              0.0098812
                     15,                 1.8904,                 1.6867,                 1.6719,                0.40022,                0.42058,                0.36148,                0.15496,                 2.0152,                 1.7752,                 1.7819,              0.0098713,              0.0098713,              0.0098713
                     16,                 1.8903,                 1.6671,                  1.659,                0.40152,                0.41086,                0.36596,                 0.1465,                 2.0631,                 1.8656,                 1.8206,              0.0098614,              0.0098614,              0.0098614
                     17,                 1.8657,                 1.6445,                 1.6407,                0.39125,                0.41815,                0.34625,                0.14558,                 2.0243,                 1.8597,                 1.7583,              0.0098515,              0.0098515,              0.0098515
                     18,                 1.8463,                 1.6263,                 1.6182,                0.40579,                0.45543,                0.38686,                0.16808,                 2.0078,                  1.731,                 1.7592,              0.0098416,              0.0098416,              0.0098416
                     19,                 1.8357,                 1.6125,                 1.6171,                0.30866,                0.38088,                 0.2968,                0.12918,                 1.9869,                  2.268,                 1.7411,              0.0098317,              0.0098317,              0.0098317
                     20,                 1.8208,                 1.5932,                  1.599,                0.50019,                0.46677,                0.45452,                0.19748,                  1.968,                 1.6095,                 1.7061,              0.0098218,              0.0098218,              0.0098218
                     21,                 1.7985,                 1.5694,                 1.5853,                0.45571,                0.44713,                0.41167,                0.18146,                   1.97,                 1.6765,                 1.7105,              0.0098119,              0.0098119,              0.0098119
                     22,                 1.7909,                 1.5671,                 1.5737,                0.48423,                0.39866,                0.38744,                0.17651,                 1.9316,                 1.7498,                 1.7035,               0.009802,               0.009802,               0.009802
                     23,                 1.7702,                 1.5491,                 1.5543,                0.42358,                0.40357,                0.36875,                0.16514,                 1.9589,                 1.8022,                 1.6916,              0.0097921,              0.0097921,              0.0097921
                     24,                 1.7591,                  1.527,                 1.5486,                0.51267,                0.45381,                 0.4483,                0.18852,                 1.9982,                  1.689,                 1.7118,              0.0097822,              0.0097822,              0.0097822
                     25,                 1.7624,                 1.5279,                 1.5486,                0.48212,                0.47326,                0.46023,                0.20096,                 1.8899,                 1.6329,                 1.6481,              0.0097723,              0.0097723,              0.0097723
                     26,                 1.7348,                 1.4886,                 1.5286,                0.55148,                0.43443,                0.45706,                0.20567,                 1.9075,                 1.5837,                 1.6309,              0.0097624,              0.0097624,              0.0097624
                     27,                 1.7346,                  1.475,                   1.52,                0.54278,                0.41815,                0.45653,                0.20295,                 1.9202,                 1.6235,                 1.6533,              0.0097525,              0.0097525,              0.0097525
                     28,                 1.7279,                 1.4706,                 1.5192,                0.55862,                0.47179,                0.49023,                0.22277,                 1.8984,                 1.5437,                 1.6236,              0.0097426,              0.0097426,              0.0097426
                     29,                  1.717,                 1.4633,                 1.5106,                0.51177,                0.49013,                0.48436,                0.21353,                 1.9182,                 1.5797,                 1.6528,              0.0097327,              0.0097327,              0.0097327
                     30,                 1.7003,                 1.4427,                 1.4958,                0.48131,                0.47407,                0.45519,                0.20932,                 1.9319,                 1.6055,                 1.6683,              0.0097228,              0.0097228,              0.0097228
                     31,                 1.6876,                 1.4193,                 1.4821,                0.50631,                0.48136,                0.46281,                0.20882,                 1.8662,                 1.6266,                 1.6325,              0.0097129,              0.0097129,              0.0097129
                     32,                  1.697,                 1.4205,                 1.4932,                0.49392,                0.44976,                0.43817,                0.19926,                 1.9243,                  1.642,                 1.6712,               0.009703,               0.009703,               0.009703
                     33,                 1.6765,                 1.4126,                 1.4787,                0.50821,                0.49408,                0.48151,                 0.2163,                 1.9334,                 1.5352,                 1.6569,              0.0096931,              0.0096931,              0.0096931
                     34,                  1.669,                 1.3814,                 1.4723,                0.55427,                0.47893,                0.50156,                0.22544,                 1.8952,                 1.5099,                 1.6256,              0.0096832,              0.0096832,              0.0096832
                     35,                 1.6617,                 1.3848,                 1.4694,                0.52069,                0.46677,                0.46887,                0.20716,                 1.8797,                 1.5652,                 1.6134,              0.0096733,              0.0096733,              0.0096733
                     36,                 1.6569,                 1.3835,                  1.458,                 0.5768,                0.49028,                0.51526,                0.23799,                 1.8633,                  1.496,                 1.5987,              0.0096634,              0.0096634,              0.0096634
                     37,                 1.6472,                 1.3789,                 1.4486,                0.53211,                0.51426,                0.50298,                0.23752,                 1.8502,                 1.5197,                 1.5892,              0.0096535,              0.0096535,              0.0096535
                     38,                 1.6347,                 1.3556,                 1.4468,                0.58937,                0.50595,                0.54591,                 0.2537,                 1.8649,                  1.503,                 1.5787,              0.0096436,              0.0096436,              0.0096436
                     39,                 1.6181,                 1.3273,                 1.4299,                0.52694,                0.51864,                0.52525,                0.25334,                 1.8104,                 1.4591,                 1.5757,              0.0096337,              0.0096337,              0.0096337
                     40,                  1.615,                 1.3267,                 1.4319,                0.54729,                0.49757,                0.50816,                0.24626,                 1.8324,                 1.4529,                 1.5635,              0.0096238,              0.0096238,              0.0096238
                     41,                 1.6037,                 1.3114,                 1.4195,                0.50138,                0.48784,                 0.4782,                0.22663,                 1.8378,                 1.5426,                 1.5703,              0.0096139,              0.0096139,              0.0096139
                     42,                 1.5944,                 1.3125,                  1.418,                0.52571,                0.47893,                0.49674,                0.24169,                 1.8388,                 1.5116,                 1.5717,               0.009604,               0.009604,               0.009604
                     43,                 1.5956,                 1.3054,                 1.4147,                0.57965,                0.52074,                0.55458,                0.26183,                 1.8031,                 1.4351,                 1.5586,              0.0095941,              0.0095941,              0.0095941
                     44,                 1.5858,                 1.2842,                 1.4042,                0.60769,                0.49834,                0.54106,                0.25113,                 1.8252,                 1.4529,                 1.5671,              0.0095842,              0.0095842,              0.0095842
                     45,                 1.5911,                 1.2843,                 1.4096,                0.64783,                0.45138,                0.53476,                0.25105,                 1.8773,                 1.4815,                  1.575,              0.0095743,              0.0095743,              0.0095743
                     46,                 1.5776,                 1.2667,                 1.3986,                0.55323,                0.52026,                0.53713,                0.25239,                 1.8601,                 1.4268,                 1.6078,              0.0095644,              0.0095644,              0.0095644
                     47,                 1.5711,                 1.2602,                 1.3956,                0.62404,                0.52728,                0.56086,                0.26456,                 1.7996,                  1.403,                 1.5682,              0.0095545,              0.0095545,              0.0095545
                     48,                 1.5639,                 1.2574,                 1.3955,                0.55656,                0.51466,                0.52543,                0.24965,                 1.8357,                 1.4549,                 1.5692,              0.0095446,              0.0095446,              0.0095446
                     49,                 1.5525,                  1.231,                 1.3838,                0.62858,                0.51378,                0.55858,                0.26526,                 1.7933,                 1.4003,                 1.5293,              0.0095347,              0.0095347,              0.0095347
                     50,                 1.5457,                 1.2308,                 1.3786,                0.58477,                0.47731,                0.51996,                0.25888,                  1.796,                 1.4824,                 1.5352,              0.0095248,              0.0095248,              0.0095248
                     51,                 1.5329,                 1.2164,                 1.3696,                0.59513,                0.53566,                0.57027,                0.26909,                 1.7776,                 1.3708,                 1.5091,              0.0095149,              0.0095149,              0.0095149
                     52,                 1.5441,                 1.2184,                 1.3731,                0.58035,                0.51552,                0.55522,                0.26435,                 1.7909,                 1.4099,                  1.538,               0.009505,               0.009505,               0.009505
                     53,                 1.5342,                 1.2101,                 1.3699,                0.61972,                0.52165,                0.56275,                0.27623,                 1.7666,                 1.4031,                 1.5023,              0.0094951,              0.0094951,              0.0094951
                     54,                  1.517,                 1.1856,                 1.3555,                0.61307,                  0.529,                0.58129,                 0.2806,                 1.7709,                 1.3711,                 1.5062,              0.0094852,              0.0094852,              0.0094852
                     55,                 1.5147,                 1.1866,                 1.3525,                0.62525,                0.50729,                0.55814,                0.27441,                 1.7817,                 1.4222,                 1.5149,              0.0094753,              0.0094753,              0.0094753
                     56,                 1.5148,                 1.1787,                 1.3553,                0.59775,                0.55916,                0.57743,                0.28551,                 1.7519,                 1.3317,                 1.5005,              0.0094654,              0.0094654,              0.0094654
                     57,                 1.5049,                 1.1791,                 1.3489,                0.62736,                0.52935,                0.58271,                0.29115,                 1.7337,                 1.3362,                  1.495,              0.0094555,              0.0094555,              0.0094555
                     58,                 1.5095,                   1.17,                 1.3505,                0.64985,                0.51588,                 0.5915,                0.28997,                 1.7621,                 1.3439,                 1.5011,              0.0094456,              0.0094456,              0.0094456
                     59,                 1.4945,                 1.1726,                  1.339,                0.62616,                 0.5538,                0.59537,                0.29208,                 1.7522,                 1.3258,                 1.5075,              0.0094357,              0.0094357,              0.0094357
                     60,                 1.4763,                 1.1485,                 1.3291,                0.62178,                 0.5209,                0.57471,                0.28324,                 1.7671,                 1.3879,                 1.5042,              0.0094258,              0.0094258,              0.0094258
                     61,                 1.4876,                 1.1473,                 1.3396,                0.63964,                0.51945,                0.58421,                0.29281,                 1.7655,                 1.3099,                  1.513,              0.0094159,              0.0094159,              0.0094159
                     62,                 1.4807,                 1.1443,                 1.3303,                0.64888,                 0.4972,                0.58602,                0.30057,                 1.7407,                 1.3268,                  1.486,               0.009406,               0.009406,               0.009406
                     63,                 1.4813,                 1.1453,                  1.329,                0.64594,                0.52512,                0.59101,                0.29253,                 1.7451,                 1.3014,                 1.4929,              0.0093961,              0.0093961,              0.0093961
                     64,                 1.4812,                 1.1332,                  1.329,                0.64984,                0.54376,                0.60256,                 0.3014,                 1.7222,                 1.3231,                 1.4615,              0.0093862,              0.0093862,              0.0093862
                     65,                 1.4891,                 1.1537,                 1.3348,                0.61113,                0.52852,                0.57268,                0.29223,                 1.7242,                    1.3,                 1.4823,              0.0093763,              0.0093763,              0.0093763
                     66,                 1.4748,                 1.1286,                 1.3287,                0.63821,                0.57293,                0.61144,                0.30703,                 1.7219,                 1.2564,                 1.4604,              0.0093664,              0.0093664,              0.0093664
                     67,                 1.4549,                 1.1079,                 1.3137,                0.66571,                0.53485,                0.59865,                0.29514,                 1.7374,                 1.3158,                 1.4695,              0.0093565,              0.0093565,              0.0093565
                     68,                 1.4735,                 1.1146,                 1.3209,                0.63131,                0.55267,                0.58982,                0.29595,                 1.7257,                 1.2936,                  1.479,              0.0093466,              0.0093466,              0.0093466
                     69,                 1.4616,                 1.1133,                 1.3167,                0.70294,                 0.5316,                 0.6207,                0.31041,                 1.7303,                   1.29,                 1.4766,              0.0093367,              0.0093367,              0.0093367
                     70,                 1.4614,                 1.1105,                 1.3149,                0.67449,                0.56645,                0.63476,                0.31775,                 1.7119,                  1.263,                 1.4646,              0.0093268,              0.0093268,              0.0093268
                     71,                 1.4366,                 1.0931,                 1.3011,                0.61514,                0.52998,                0.56346,                0.28288,                 1.7405,                 1.3418,                 1.4849,              0.0093169,              0.0093169,              0.0093169
                     72,                 1.4316,                 1.0791,                 1.2934,                0.67178,                0.56807,                 0.6289,                 0.3224,                 1.6959,                 1.2364,                 1.4611,               0.009307,               0.009307,               0.009307
                     73,                  1.435,                 1.0793,                 1.2972,                0.63376,                0.52866,                0.57911,                 0.2916,                 1.7552,                 1.3088,                 1.4944,              0.0092971,              0.0092971,              0.0092971
                     74,                 1.4294,                 1.0765,                 1.2946,                0.64527,                 0.5749,                0.61895,                0.31217,                 1.7031,                 1.2568,                 1.4564,              0.0092872,              0.0092872,              0.0092872
                     75,                 1.4134,                 1.0665,                 1.2834,                0.63586,                0.58347,                0.61964,                 0.3192,                 1.7072,                  1.237,                 1.4524,              0.0092773,              0.0092773,              0.0092773
                     76,                 1.4134,                 1.0634,                 1.2785,                0.67556,                0.56645,                0.61631,                0.32272,                 1.7025,                 1.2431,                 1.4584,              0.0092674,              0.0092674,              0.0092674
                     77,                 1.4227,                  1.058,                 1.2885,                0.67445,                0.55673,                0.62237,                0.32489,                 1.6816,                 1.2555,                 1.4292,              0.0092575,              0.0092575,              0.0092575
